io_type,name,elem_type,shape,is_cache_io
input,past_key_values.11.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.12.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.12.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.13.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.13.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.14.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.14.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.15.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.15.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.16.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.16.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.17.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.17.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.18.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.18.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.19.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.19.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.20.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.20.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.21.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.21.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.22.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.22.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.23.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.23.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.24.key,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
input,past_key_values.24.value,FLOAT,"[""batch_size"", 1, ""past_sequence_length"", 256]",True
