node_index,node_name,fallback_classification,confidence,input_names,output_names,parent_ops,child_ops,evidence
4538,/model/layers.14/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.14/self_attn/Reshape_7_output_0; onnx::MatMul_10279,/model/layers.14/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4608,/model/layers.15/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.15/input_layernorm/Mul_1_output_0; onnx::MatMul_10291,/model/layers.15/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4632,/model/layers.15/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.15/input_layernorm/Mul_1_output_0; onnx::MatMul_10298,/model/layers.15/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4635,/model/layers.15/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.15/input_layernorm/Mul_1_output_0; onnx::MatMul_10299,/model/layers.15/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4814,/model/layers.15/self_attn/MatMul,attention_qk_score,confirmed,/model/layers.15/self_attn/Mul_8_output_0; /model/layers.15/self_attn/Mul_9_output_0,/model/layers.15/self_attn/MatMul_output_0,Mul; Mul,Add,self_attn/MatMul feeds Add mask path; parents are scaled Q/K-like Mul nodes
4823,/model/layers.15/self_attn/MatMul_1,attention_v_weighted_sum,confirmed,/model/layers.15/self_attn/Where_3_output_0; /model/layers.15/self_attn/Reshape_6_output_0,/model/layers.15/self_attn/MatMul_1_output_0,Where; Reshape,Transpose,self_attn/MatMul_1 follows masked attention probability path and feeds Transpose output path
4832,/model/layers.15/self_attn/o_proj/MatMul,attention_internal_matmul,candidate,/model/layers.15/self_attn/Reshape_7_output_0; onnx::MatMul_10326,/model/layers.15/self_attn/o_proj/MatMul_output_0,Reshape,Cast,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4902,/model/layers.16/self_attn/q_proj/MatMul,attention_internal_matmul,candidate,/model/layers.16/input_layernorm/Mul_1_output_0; onnx::MatMul_10338,/model/layers.16/self_attn/q_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4926,/model/layers.16/self_attn/k_proj/MatMul,attention_internal_matmul,candidate,/model/layers.16/input_layernorm/Mul_1_output_0; onnx::MatMul_10345,/model/layers.16/self_attn/k_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
4929,/model/layers.16/self_attn/v_proj/MatMul,attention_internal_matmul,candidate,/model/layers.16/input_layernorm/Mul_1_output_0; onnx::MatMul_10346,/model/layers.16/self_attn/v_proj/MatMul_output_0,Mul,Reshape,self_attn MatMul name found but fallback pattern is not sufficient for confirmation
